Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Cruise Line,Cruise Ship,Sailing_Dates(Start),Sailing_Dates(End),Causative Agent,Proportion_Case_Counts_Numerator(Passengers),Proportion_Case_Counts_Denominator(Passengers),%_Case_Counts(Passengers),Proportion_Case_Counts_Numerator(Crew),Proportion_Case_Counts_Denominator(Crew),%_Case_Counts(Crew)
Viking Ocean Cruises,Viking Star,12/13/2018,1/3/2019,Rotavirus,28,917,3.05,5,449,1.11
Crystal Cruises,Crystal Symphony,11/8/2018,12/2/2018,Norovirus,30,700,4.30,17,585,2.90
Holland America Line,Volendam,11/3/2018,11/18/2018,Norovirus,68,1285,5.29,9,599,1.50
V. Ships Leisure U.S.A.,Pearl Mist,9/1/2018,9/12/2018,Unknown,6,196,3.06,0,69,0
Regent Seven Seas Cruises,Seven Seas Mariner,6/20/2018,6/30/2018,Unknown,38,652,5.83,0,457,0
Holland America Line,Zaandam,6/18/2018,7/2/2018,Unknown,95,1472,6.45,18,591,3.05
Silversea Cruises,Silver Shadow,5/10/2018,5/24/2018,Norovirus,28,327,8.56,8,290,2.76
Celebrity Cruises,Celebrity Infinity,4/17/2018,5/2/2018,Norovirus,111,2140,5.19,7,970,0.72
Cunard Line,Queen Victoria,2/21/2018,3/9/2018,Enterotoxigenic E. coli (ETEC),80,1899,4.20,10,967,1.03
Azamara Club Cruises,Azamara Quest,1/25/2018,2/8/2018,Unknown,20,663,3.01,2,458,0.44
Princess Cruises,Island Princess,1/9/2018,1/24/2018,Norovirus and Campylobacter,71,2181,3.26,7,898,0.78
